,index,brand_name,model_name,price,rating,generation,number_of_cores,number_of_threads,RAM (in GB),Data_rate,hardware_type,SSD (in GB),Graphic_cards,resolution (in Pixels),touch_screen,display (in inches),OS,warranty
262,262,HP,HP Pavilion 14-dv2015TU Laptop ,84990,64.0,12th,10,12,16,DDR4,Intel Core i7 1255U,1024.0,Intel Iris Xe Graphics, 1920 x 1080 ,No,14,Windows 11,1 Year Warranty
263,263,Dell,Dell Inspiron 15 3511 Laptop ,50964,,11th,4,8,8,DDR4,Intel Core i5 1135G7,512.0,Intel Integrated UHD Graphics, 1920 x 1080 ,No,15.6,Windows 11 ,1 Year Warranty
264,264,Samsung,Samsung Galaxy Book2 Laptop ,70990,62.0,12th,12,16,8,LPDDR4x,Intel Core i5 1240P,512.0,4 GB Intel Arc A350M Graphics, 1920 x 1080 ,No,15.6,Windows 11,1 Year Warranty
265,265,Dell,Dell Inspiron 5520 Laptop ,79990,73.0,12th,12,16,16,DDR5,Intel Core i5 12500H,512.0,4 GB NVIDIA GeForce RTX 3050, 1920 x 1080 ,No,15.6,Windows 11,1 Year Warranty
266,266,Asus,Asus Vivobook S15 OLED K3502ZA-L501WS Laptop ,73490,64.0,12th,12,16,16,DDR4,Intel Core i5 12500H,512.0,Intel Iris XE Graphics, 1920 x 1080 ,No,15.6,Windows 11,1 Year Warranty
267,267,Samsung,Samsung Galaxy Book2 15 Laptop ,64100,,12th,10,12,8,LPDDR4,Intel Core i5 1235U,512.0,Intel Iris Xe Graphics, 1920 x 1080 ,No,15.6,Windows 11,1 Year Warranty
268,268,Dell,Dell G15-5520 Laptop ,99990,74.0,12th,14,20,16,DDR5,Intel Core i7 12700H,512.0,4 GB NVIDIA GeForce RTX 3050 Ti, 1920 x 1080 ,No,15.6,Windows 11 ,1 Year Warranty
269,269,Lenovo,Lenovo IdeaPad D330 82H0001YIN Laptop ,24498,,,4,2,4,DDR4,,128.0,Intel UHD Graphics 600, 1200 x 800 ,Yes,10.1,Windows 10 10,
270,270,HP,HP Pavilion 15-eg2002TU Laptop ,67990,64.0,12th,12,16,16,DDR4,Intel Core i5 1240P,512.0,Intel Iris Xᵉ Graphics, 1920 x 1080 ,No,15.6,Windows 11,1 Year Warranty
271,271,Lenovo,Lenovo E41-55 82FJ009JIH Laptop ,18989,,,2,2,4,,,1024.0,, 1920 x 1080 ,No,14,DOS,1 Year Warranty
272,272,Honor,Honor MagicBook X15 Laptop ,32990,,10th,2,4,8,DDR4,Intel Core i3 10110U,256.0,Intel UHD Graphics, 1920 x 1080 ,No,15.6,Windows 10,
273,273,Samsung,Samsung Galaxy Book Go Laptop ,32990,,2nd,,,4,LPDDR4x,Qualcomm Snapdragon 7c,128.0,,,No,,Linux,1 Year Warranty
274,274,Samsung,Samsung Galaxy Book2 Pro 13 Laptop ,109990,67.0,12th,8,16,16,LPDDR5,Intel Core i7 1260P,512.0,Intel Iris Xe Graphics, 1080 x 1920 ,No,13.3,Windows 11,1 Year Warranty
275,275,Asus,Asus Vivobook 13 Slate OLED T3300KA-LQ122WS Laptop ,35500,,,4,4,4,LPDDR4X,,128.0,Intel UHD Graphics, 1920 x 1080 ,Yes,13.3,Windows 11,1 Year Warranty
276,276,Asus,Asus VivoBook 15 X515EA-EJ322WS Laptop ,34990,,11th,2,4,8,DDR4,intel Core i3 1115G4,512.0,Intel UHD Graphics, 1920 x 1080 ,No,15.6,Windows 11,1 Year Warranty
277,277,Dell,Dell Inspiron 3511 Laptop ,56510,64.0,11th,4,8,8,DDR4,Intel Core i5 1135G7,1024.0,2 GB NVIDIA MX350 , 1920 x 1080 ,No,15.6,Windows 11,
278,278,Lenovo,Lenovo Ideapad 15ALC6 82KU017KIN Laptop ,43975,,5th,6,12,8,DDR4,AMD Ryzen 5  5500U,512.0,AMD Radeon, 1920 x 1080 ,No,15.6,Windows 11,1 Year Warranty
279,279,Asus,Asus Zenbook 17 Fold UX9702AA-MD023WS Laptop ,316900,79.0,12th,10,12,16,LPDDR5,Intel Core i7 1250U,1024.0,Intel Iris Xe Graphics, 2560 x 1920 ,Yes,17.3,Windows 11,1 Year Warranty
280,280,Dell,Dell Latitude 5420 Laptop ,104800,,11th,4,8,8,DDR4,Intel Core i5 1135G7,256.0,Intel Iris Xe Graphics, 1920 x 1080 ,No,14,Windows 10 ,1 Year Warranty
281,281,HP,HP Pavilion 15-ec2004AX Gaming Laptop ,63500,65.0,5th,6,12,8,DDR4,AMD Ryzen 5  5600H,512.0,4 GB NVIDIA GeForce GTX 1650, 1920 x 1080 ,No,15.6,Windows 10,1 Year Warranty
282,282,Realme,Realme Book Slim Laptop ,35990,,11th,2,4,8,LPDDR4x,Intel Core i3 1115G4,256.0,Intel UHD Graphics, 1440 x 2160 ,No,14,Windows 10,1 Year Warranty
283,283,HP,HP 11a-na0006MU Chromebook ,19990,,,8,,4,LPDDR4X,,,MediaTek Integrated, 1366 x 768 ,Yes,11.6,Chrome,1 Year Warranty
284,284,Xiaomi,Xiaomi Mi Notebook Pro 14 Laptop ,53999,61.0,11th,4,8,16,DDR4,Intel Core i5 11300H,512.0,Intel Iris Xe Graphics, 2560 x 1600 ,No,14,Windows 10 ,1 Year Warranty
285,285,Acer,Acer Aspire 7 A715-42G NH.QAYSI.001 Gaming Laptop ,49999,60.0,5th,6,12,8,DDR4,AMD Ryzen 5  5500U,512.0,4 GB NVIDIA GeForce GTX 1650, 1920 x 1080 ,No,15.6,Windows 10,1 Year Warranty
286,286,HP,HP 15s-GR0012AU Laptop ,37290,61.0,3rd,2,4,8,DDR4,AMD Ryzen 3  3250U,1024.0,AMD Radeon Vega 6, 1920 x 1080 ,No,15.6,Windows 10,
287,287,Huawei,Huawei Qingyun L410 Laptop ,44990,,,,,8,,,512.0,,,No,,Linux,
288,288,Dell,Dell Inspiron 3501 Laptop ,61640,,11th,4,8,8,DDR4,Intel Core i5 1135G7,1024.0,Intel Iris Xe Graphics, 1920 x 1080 ,No,15.6,Windows 10,
289,289,Apple,Apple MacBook Air 2020 MGN73HN Laptop ,109990,,,8,,8,DDR4,,512.0,Apple M1 Integrated Graphics, 2560 x 1600 ,No,13.3,Mac,1 Year Warranty
290,290,Avita,Avita Liber NS14A8INR671 Laptop ,44990,67.0,10th,4,8,16,DDR4,Intel Core i7 10510U,1024.0,Intel Integrated UHD, 1920 x 1080 ,No,14,Windows 10,1 Year Warranty
291,291,Avita,Avita Pura NS14A6 Laptop ,39990,,3rd,4,8,8,DDR4,AMD Ryzen 5  3500U,512.0,AMD Radeon Vega 8, 1920 x 1080 ,No,14,Windows 10,1 Year Warranty
292,292,Apple,Apple MacBook Air 2020 Laptop ,72999,,10th,4,8,8,LPDDR4X,Intel Core i3,256.0,Intel Iris Plus, 2560 x 1600 ,No,13.3,Mac 10.15.3	,
293,293,Apple,Apple MacBook Pro 16 Laptop ,201498,81.0,9th,8,,32,DDR4,Intel Core i9,2048.0,4 GB Radeon Pro 5500M, 3072 x 1920 ,No,16,Mac Catalina,1 Year Warranty
294,294,Asus,Asus Zenbook 14X OLED 2023 UM5401QA-KM751WS Laptop ,79990,66.0,5th,8,16,16,LPDDR4X,AMD Ryzen 7 5800H,1024.0,AMD Radeon AMD, 2880 x 1800 ,No,14,Windows 11,1 Year Warranty
295,295,Asus,Asus Zenbook 14X OLED 2023 M5401QA-KM541WS Laptop ,69990,64.0,5th,6,12,16,LPDDR4X,AMD Ryzen 5 5600H,512.0,AMD Radeon AMD, 2880 x 1800 ,No,14,Windows 11,1 Year Warranty
296,296,Acer,Acer Swift Edge 16 2023 Laptop ,107399,,7th,8,16,16,LPDDR5,AMD Ryzen 7040 Series 040,1024.0,AMD Radeon AMD, 3840 x 2400 ,No,16,Windows 11,1 Year Warranty
297,297,Acer,Acer Aspire 7 A715-76G NH.QMFSI.004 Gaming Laptop ,74990,70.0,12th,8,12,16,DDR4,Intel Core i5 12450H,512.0,4 GB NVIDIA GeForce GTX 3050, 1920 x 1080 ,No,15.6,Windows 11,1 Year Warranty
298,298,Acer,Acer Aspire 5 A515-58P NX.KHJSI.001 Gaming Laptop ,55999,,13th,6,8,8,LPDDR5,Intel Core i3 1315U,512.0,Intel Integrated UHD, 1920 x 1080 ,No,15.6,Windows 11,1 Year Warranty
299,299,HP,HP Pavilion 15-eg3027TU Laptop ,76349,66.0,13th,12,16,16,DDR4,Intel Core i5 1340p,512.0,Intel Integrated Intel Iris Xe Graphics, 1920 x 1080 ,No,15.6,Windows 11,1 Year Warranty
300,300,Dell,Dell ‎G16-7630 Gaming Laptop ,187290,79.0,13th,24,32,16,DDR5,Intel Core i9 13900HX,512.0,8 GB NVIDIA GeForce RTX 4060, 2560 x 1600 ,No,16,Windows 11,1 Year Warranty
301,301,Dell,Dell G15-5530 GN5530VMMD9002ORB1 Gaming Laptop ,115390,73.0,13th,14,,16,DDR5,Intel Core i7 13650HX,512.0,6 GB NVIDIA GeForce RTX 3050, 1920 x 1080 ,No,15.6,Windows 11,1 Year Warranty
302,302,Dell,Dell G15-5530 2023 Gaming Laptop ,136999,75.0,13th,14,,16,DDR5,Intel Core i7 13650HX,512.0,6 GB NVIDIA GeForce RTX 4050, 1920 x 1080 ,No,15.6,Windows 11,1 Year Warranty
303,303,Dell,Dell G15-5530 Gaming Laptop ,131860,73.0,13th,14,,16,DDR5,Intel Core i7 13650HX,512.0,6 GB NVIDIA GeForce RTX 4050, 1920 x 1080 ,No,15.6,Windows 11,1 Year Warranty
304,304,Dell,Dell G15-5530 GN5530D83M6002ORB1 Gaming Laptop ,95899,71.0,13th,10,16,16,DDR5,Intel Core i5 13450HX,512.0,6 GB NVIDIA GeForce RTX 3050, 1920 x 1080 ,No,15.6,Windows 11,1 Year Warranty
305,305,Dell,Dell G15-5530 GN553064GRM002ORB1 Gaming Laptop ,89750,69.0,13th,10,16,8,DDR5,Intel Core i5 13450HX,512.0,6 GB NVIDIA GeForce RTX 3050, 1920 x 1080 ,No,15.6,Windows 11,1 Year Warranty
306,306,Acer,Acer Aspire 5 A515-58M NX.KHGSI.002 Gaming Laptop ,77999,,13th,10,12,16,LPDDR5,Intel Core i5 1335U,512.0,Intel Integrated Iris Xe, 1920 x 1080 ,No,15.6,Windows 11,1 Year Warranty
307,307,Acer,Acer Aspire Vero AV14-52P NX.KJSSI.002 Laptop ,71999,,13th,10,12,16,LPDDR4X,Intel Core i5 1335U,512.0,Intel Iris Xe Graphics, 1920 x 1080 ,No,14,Windows 11,1 Year Warranty
308,308,Acer,Acer Aspire Vero AV14-52P NX.KJTSI.002 Laptop ,61999,,13th,6,8,16,LPDDR4X,Intel Core i3 1315U,512.0,Intel Integrated UHD, 1920 x 1080 ,No,14,Windows,1 Year Warranty
309,309,MSI,MSI Stealth 17 Studio A13VG-029IN Gaming Laptop ,309990,83.0,13th,14,20,16,DDR5,Intel Core i7 13700H,2048.0,8 GB NVIDIA GeForce RTX 4070, 2560 x 1440 ,No,17.3,Windows 11,2 Year Warranty
310,310,Asus,Asus Vivobook 15X 2023 K3504VAB-NJ321WS Laptop ,48470,,13th,6,8,8,DDR4,‎Intel Core i3 1315U,512.0,Integrated Intel UHD Graphics, 1920 x 1080 ,No,15.6,Windows 11,1 Year Warranty
311,311,Asus,Asus TUF Gaming A15 2023 FA577XU-LP041WS Gaming Laptop ,431990,84.0,7th,8,16,16,DDR4,AMD Ryzen 9 7940HS,1024.0,6 GB NVIDIA GeForce RTX 4050, 1920 x 1080 ,No,15.6,Windows 11,1 Year Warranty
312,312,Asus,Asus ROG Zephyrus G14 2023 GA402XV-N2034WS Gaming Laptop ,199990,89.0,7th,8,16,32,DDR5,AMD Ryzen 9 7940HS,1024.0,8 GB NVIDIA GeForce RTX 4060, 2560 x 1600 ,No,14,Windows 11,1 Year Warranty
313,313,Asus,Asus TUF Gaming F15 2023 FX507VU-LP083WS Gaming Laptop ,129990,73.0,13th,14,20,16,DDR4,Intel Core i7 13700H,512.0,6 GB NVIDIA GeForce RTX 4050, 1920 x 1080 ,No,15.6,Windows 11,1 Year Warranty
314,314,Huawei,Huawei MateBook E 2023 Laptop ,88999,,12th,10,12,16,,Intel Core i5 1230U,512.0,Intel Iris Xe Graphics, 1600 x 2560 ,Yes,12.6,Windows 11,
315,315,Asus,Asus ROG Strix G17 2023 G713PV-LL065WS Gaming Laptop ,182990,83.0,7th,12,24,16,DDR5,AMD Ryzen 9 7845HX,1024.0,8 GB NVIDIA GeForce RTX 4060, 2560 x 1440 ,No,17.3,Windows 11,1 Year Warranty
316,316,Asus,Asus Vivobook 16X 2023 K3605ZF-MB541WS Laptop ,72990,72.0,12th,8,12,16,DDR4,Intel Core i5 12450H,512.0,4 GB NVIDIA GeForce RTX 2050, 1920 x 1200 ,No,16,Windows 11,1 Year Warranty
317,317,Asus,Asus TUF Gaming A15 2023 FA577XV-HQ036WS Gaming Laptop ,151990,83.0,7th,8,16,16,DDR5,AMD Ryzen 9 7940HS,1024.0,8 GB NVIDIA GeForce RTX 4060 , 2560 x 1440 ,No,15.6,Windows 11,1 Year Warranty
318,318,Acer,Acer Aspire 5 14 A514-56GM 2023 Gaming Laptop ,74990,67.0,13th,10,12,16,DDR4,Intel Core i5 1335U,512.0,4 GB NVIDIA GeForce RTX 2050, 1920 x 1080 ,No,14,Windows 11,1 Year Warranty
319,319,Acer,Acer Aspire 5 A514-56GM 2023 Gaming Laptop ,70990,65.0,13th,10,12,8,DDR4,Intel Core i5 1335U,512.0,4 GB NVIDIA GeForce RTX 2050, 1920 x 1080 ,No,14,Windows 11,1 Year Warranty
320,320,Acer,Acer Aspire 5 A514-56GM Gaming Laptop ,80990,66.0,13th,10,12,8,DDR4,Intel Core i7 1355U,512.0,4 GB NVIDIA GeForce RTX 2050, 1920 x 1080 ,No,14,Windows 11,1 Year Warranty
321,321,Lenovo,Lenovo IdeaPad Slim 5 82FG01B3IN Laptop ,65000,67.0,11th,4,8,16,DDR4,Intel Core i5 1135G7,512.0,Intel Iris Xe Graphics, 1920 x 1080 ,No,15.6,Windows 11,1 Year Warranty
322,322,MSI,MSI Bravo 15 B5ED-034IN Gaming Laptop ,57990,70.0,5th,8,16,8,DDR4,AMD Ryzen 7 5800H,512.0,4 GB AMD Radeon RX6500M, 1920 x 1080 ,No,15.6,Windows 11,1 Year Warranty
323,323,Acer,Acer Aspire 7 A715-76G NH.QMFSI.001 Gaming Laptop ,70990,63.0,12th,8,12,8,DDR4,Intel Core i5 12450H,512.0,4 GB NVIDIA GeForce RTX 3050, 1920 x 1080 ,No,15.6,Windows 11,1 Year Warranty
324,324,Acer,Acer Aspire 7 A715-76G NH.QMFSI.002 Gaming Laptop ,72990,65.0,12th,8,12,16,DDR4,Intel Core i5 12450H,512.0,4 GB NVIDIA GeForce RTX 3050, 1920 x 1080 ,No,15.6,Windows 11,1 Year Warranty
325,325,Asus,Asus ROG Zephyrus G14 2023 GA402XZ-N2020WS Gaming Laptop ,266990,89.0,7th,8,16,32,DDR5,AMD Ryzen 9 7940HS,1024.0,12 GB NVIDIA GeForce RTX 4080, 2560 x 1600 ,No,14,Windows 11,1 Year Warranty
326,326,ASUS,ASUS TUF Gaming A16 Advantage Edition FA617XS-N3025WS Gaming Laptop ,139990,80.0,7th,8,16,16,DDR5,AMD Ryzen 9  7940HS,1024.0,8 GB AMD Radeon  RX 7600S, 1920 x 1200 ,No,15.6,Windows 11,1 Year Warranty
327,327,Asus,Asus TUF Gaming A17 FA777XU-HX026WS Gaming Laptop ,134990,80.0,7th,8,16,16,DDR5,AMD Ryzen 9 7940HS,1024.0,6 GB NVIDIA GeForce RTX 4050, 1920 x 1080 ,No,17.3,Windows 11,1 Year Warranty
328,328,Asus,Asus ROG Zephyrus G14 2023 GA402NU-N2023WS Gaming Laptop ,149990,76.0,7th,8,16,16,DDR5,AMD Ryzen 7  7735HS,1024.0,6 GB NVIDIA GeForce RTX 4050, 2560 x 1600 ,No,14,Windows 11,1 Year Warranty
329,329,Asus,Asus ROG Flow X13 GV302XU-MU013WS Gaming Laptop ,174990,71.0,,8,16,16,LPDDR5,,1024.0,6 GB NVIDIA GeForce RTX 4050, 2560 x 1600 ,Yes,13.4,Windows 11,1 Year Warranty
330,330,Asus,Asus ROG Strix G16 2023 G614JU-N3221WS Gaming Laptop ,144990,73.0,13th,10,16,16,DDR5,Intel Core i5 13450HX,1024.0,6 GB NVIDIA GeForce RTX 4050, 1920 x 1200 ,No,16,Windows 11,1 Year Warranty
331,331,Asus,Asus ROG Flow Z13 2023 GZ301VV-MU014WS Gaming Laptop ,209858,73.0,13th,14,20,16,LPDDR5,Intel Core i9 13900H,1024.0,8 GB NVIDIA GeForce RTX 4060, 2560 x 1600 ,Yes,13.4,Windows 11,1 Year Warranty
332,332,Asus,Asus ROG Strix G18 2023 G814JI-N6097WS Gaming Laptop ,219990,78.0,13th,24,32,16,DDR5,Intel Core i9 13980HX,1024.0,8 GB NVIDIA GeForce RTX 4070, 2560 x 1600 ,No,18,Windows 11,1 Year Warranty
333,333,Lenovo,Lenovo IdeaPad 3 15IAU7 82RK00LWIN Laptop ,56990,,12th,10,12,8,DDR4,Intel Core i5 1235U,512.0,Intel Iris Xe Graphics , 1920 x 1080 ,No,15.6,Windows 11,1 Year Warranty
334,334,Asus,Asus ROG Zephyrus G16 2023 GU603VV-N4044WS Laptop ,179990,85.0,13th,14,20,16,DDR4,Intel Core i9 13900H,1024.0,8 GB NVIDIA GeForce RTX 4060, 2560 x 1600 ,No,16,Windows 11,1 Year Warranty
335,335,Asus,Asus ROG Strix G16 2023 G614JU-N3200WS Gaming Laptop ,152850,78.0,13th,14,,16,DDR5,Intel Core i7 13650HX,1024.0,6 GB NVIDIA GeForce RTX 4050, 1920 x 1200 ,No,16,Windows 11,1 Year Warranty
336,336,Asus,Asus ROG Strix G16 2023 G614JI-N4151WS Gaming Laptop ,209990,79.0,13th,24,32,16,DDR5,Intel Core i9 13980HX,1024.0,8 GB NVIDIA GeForce RTX 4070, 2560 x 1600 ,No,16,Windows 11,1 Year Warranty
337,337,Asus,Asus Vivobook 15 X1502ZA-EJ323WS Laptop ,45900,,12th,6,8,8,DDR4,Intel Core i3 1215U,512.0,Intel Iris Xe, 1920 x 1080 ,No,15.6,Windows 11,1 Year Warranty
338,338,Dell,Dell Inspiron 5520 Gaming Laptop ,77799,71.0,12th,12,16,8,DDR5,Intel Core i5 12500H,512.0,4 GB NVIDIA GeForce RTX 3050, 1920 x 1080 ,No,15.6,Windows 11,1 Year Warranty
339,339,Acer,Acer Predator Helios 16 PH16-71 Gaming Laptop ,164990,70.0,13th,16,24,16,LPDDR5,Intel Core i7 13700HX,512.0,8 GB NVIDIA GeForce RTX 4060, 2560 x 1600 ,No,16,Windows 11,1 Year Warranty
340,340,Acer,Acer Swift Go 14 SFG14-71 NX.KF1SI.0023 Laptop ,79990,66.0,13th,12,16,16,LPDDR5,Intel Core i5 13500H,512.0,Intel Integrated Iris Xe, 2880 x 1800 ,No,14,Windows 11,1 Year Warranty
341,341,HP,HP Victus 15-fa0092TX Gaming Laptop ,75990,65.0,12th,8,12,16,DDR4,Intel Core i5 12450H,512.0,4 GB NVIDIA GeForce RTX 3050, 1920 x 1080 ,No,15.6,Windows 11,1 Year Warranty
342,342,Asus,Asus Vivobook Pro 15 OLED K6502VU-MA541WS Laptop ,125950,75.0,13th,12,16,16,DDR5,Intel Core i5 13500H,512.0,6 GB NVIDIA GeForce RTX 4050, 2880 x 1620 ,No,15.6,Windows 11,1 Year Warranty
343,343,Dell,Dell Alienware m16 Gaming Laptop ,217990,83.0,13th,16,24,16,DDR5,Intel Core i7 13700HX,1024.0,8 GB NVIDIA GEFORCE RTX 4060, 2560 x 1600 ,No,16,Windows 11,1 Year Warranty
344,344,Dell,Dell Alienware x14 R2 2023 Gaming Laptop ,245490,78.0,13th,10,16,32,LPDDR5,Intel Core i7 13620H,1024.0,8 GB NVIDIA GEFORCE RTX 4060, 2560 x 1600 ,No,14,Windows 11,1 Year Warranty
345,345,Lenovo,Lenovo Thinkbook 14 Gen 2 20VDA0L2IH Laptop ,55000,62.0,11th,2,4,8,DDR4,Intel Core i3 1115G4,512.0,Intel uhd Graphics, 1920 x 1080 ,No,14,Windows 11,1 Year Warranty
346,346,Asus,Asus Vivobook 16X M1603QA-MB742WS Laptop ,62990,66.0,5th,8,16,16,DDR4,AMD Ryzen 7  5800H,512.0,AMD Radeon Graphics, 1920 x 1200 ,No,16,Windows 11,1 Year Warranty
347,347,Asus,Asus Vivobook 16X 2023 K3605ZF-MB521WS Laptop ,68990,67.0,12th,8,12,8,DDR4,Intel Core i5 12450H,512.0,4 GB NVIDIA Geforce RTX 2050, 1920 x 1200 ,No,16,Windows 11,1 Year Warranty
348,348,Dell,Dell XPS 15 9510 Laptop ,229000,77.0,11th,8,16,16,DDR4,Intel Core i7 11800H,512.0,4 GB NVIDIA RTX 3050 Ti, 3840 x 2400 ,No,15.6,Windows 11,1 Year Warranty
349,349,Acer,Acer TravelMate 14 P214-53 Laptop ,51990,65.0,11th,4,8,16,DDR4,Intel Core i5 1135G7,1024.0,Intel Integrated Iris Xe, 1920 x 1080 ,No,14,Windows 10,
350,350,Huawei,Huawei MateBook 16s 2023 Laptop ,185990,67.0,13th,12,16,16,,Intel Core i5 13500H,512.0,Intel Iris Xe Graphics, 2520 x 1680 ,Yes,16,Windows 11,1 Year Warranty
351,351,Huawei,Huawei MateBook X Pro 2023 Laptop ,184990,73.0,13th,12,16,16,LPDDR5,Intel Core i7 1360P,1024.0,Intel Iris Xe, 3120 x 2080 ,Yes,14.2,Windows 11,1 Year Warranty
352,352,HP,HP 15-hr0000TU Laptop ,66890,,13th,10,12,8,DDR4,Intel Core i5 1335U,512.0,Intel Integrated Integrated, 1920 x 1080 ,No,15.6,Windows 11,1 Year Warranty
353,353,HP,HP 15-hr0001TU Laptop ,69890,,13th,10,12,16,DDR4,Intel Core i5 1335U,512.0,Intel Integrated Integrated, 1920 x 1080 ,No,15.6,Windows 11,1 Year Warranty
354,354,HP,HP 15s-fr5009TU Laptop ,41990,,12th,6,8,8,DDR4,Intel Core i3 1215U,512.0,Intel UHD Graphics, 1920 x 1080 ,No,15.6,Windows 11,1 Year Warranty
355,355,HP,HP 15s-fr4001TU Laptop ,57990,65.0,11th,4,8,16,DDR4,Intel Core i5 1155G7,512.0,Intel Integrated Iris Xe, 1920 x 1080 ,No,15.6,Windows 11,1 Year Warranty
356,969,Dell,Dell Inspiron 3525 Laptop ,42990,,3rd,2,4,8,DDR4,AMD Ryzen 3 3250U,1024.0,4 GB NVIDIA GeForce RTX 2050, 1920 x 1080 ,No,15.6,Windows 11,
357,357,MSI,MSI Katana 15 B12UDXK-1005IN Gaming Laptop ,81990,73.0,12th,8,12,16,DDR5,Intel Core i5 12450H,512.0,6 GB NVIDIA GeForce RTX 3050, 1920 x 1080 ,No,15.6,Windows 11,2 Year Warranty
358,358,MSI,MSI Katana 15 B12UDXK-1006IN Gaming Laptop ,78990,71.0,12th,8,12,8,DDR5,Intel Core i5 12450H,512.0,6 GB NVIDIA GeForce RTX 3050, 1920 x 1080 ,No,15.6,Windows 11,2 Year Warranty
359,359,HP,HP 15-fd0013TU Laptop ,69594,,13th,10,12,16,DDR4,Intel Core i5 1335U,512.0,Intel Integrated Integrated, 1920 x 1080 ,No,15.6,Windows 11,1 Year Warranty
360,356,MSI,MSI Thin GF63 12UCX-269IN Gaming Laptop ,66990,69.0,12th,8,12,16,DDR4,Intel Core i5 12450H,1024.0,6 GB NVIDIA GeForce RTX 4050, 1920 x 1080 ,No,15.6,Windows 11,
361,361,HP,HP 15s-eq1580AU Laptop ,32990,,3rd,2,4,8,DDR4,AMD Ryzen 3  3250U,512.0,AMD Radeon Graphics, 1920 x 1080 ,No,15.6,Windows 11,1 Year Warranty
362,362,HP,HP 15-fd0021TU Laptop ,62990,,13th,10,12,8,DDR4,Intel Core i5 1335U,512.0,Intel Iris Xe Graphics, 1920 x 1080 ,No,15.6,Windows 11,1 Year Warranty
363,363,Asus,Asus Vivobook S15 OLED 2023 S5504VA-MA741WS Laptop ,105990,66.0,13th,14,20,16,LPDDR5,Intel Core i7 13700H,512.0,Intel Integrated Iris Xe, 2880 x 1620 ,No,15.6,Windows 11,1 Year Warranty
364,364,Acer,Acer Swift Go 14 SFG14-41 NX.KG3SI.003 Laptop ,59990,62.0,7th,6,12,16,,AMD Ryzen 5  7530U,512.0,AMD Radeon Graphics, 1920 x 1080 ,No,14,Windows 11,1 Year Warranty
365,365,Asus,Asus Vivobook 15 2023 X1504VA-NJ524WS Laptop ,59990,62.0,13th,10,12,8,DDR4,Intel Core i5 1335U,512.0,Integrated Intel Iris Xe Graphics, 1920 x 1080 ,No,15.6,Windows 11,1 Year Warranty
366,366,Dell,Dell G15-5525 D560896WIN9S Gaming Laptop ,130299,76.0,6th,8,16,16,DDR5,AMD Ryzen 9 6900HX,1024.0,6 GB NVIDIA GeForce RTX 3060, 1920 x 1080 ,No,15.6,Windows 11,1 Year Warranty
367,367,Asus,Asus Vivobook S15 2022 K3502ZA-KJ522WS Laptop ,65990,65.0,12th,12,16,8,DDR4,Intel Core i5 12500H,512.0,Intel Iris Xe, 1920 x 1080 ,No,15.6,Windows 11,1 Year Warranty
368,368,Asus,Asus Vivobook 14X 2023 K3405VF-LY541WS Laptop ,83990,66.0,13th,12,16,16,DDR4,Intel Core i5 13500H,512.0,4 GB NVIDIA GeForce RTX 2050, 1920 x 1200 ,No,14,Windows 11,1 Year Warranty
369,369,MSI,MSI Stealth 16 Studio A13VG-030IN Gaming Laptop ,311766,86.0,13th,14,20,32,DDR5,Intel Core i7 13700H,1024.0,8 GB NVIDIA GeForce RTX 4070, 2560 x 1600 ,No,16,Windows 11,2 Year Warranty
370,370,Asus,Asus Vivobook Pro 15 OLED K6502VU-MA951WS Laptop ,160000,84.0,13th,14,20,16,DDR5,Intel Core i9 13900H,1024.0,6 GB NVIDIA GeForce RTX 4050, 2880 x 1620 ,No,15.6,Windows 11,1 Year Warranty
371,371,Asus,Asus Zenbook Pro 14 Duo OLED 2023 UX8402VU-MZ961WS Laptop ,229990,78.0,13th,14,20,16,LPDDR5,Intel Core i9 13900H,1024.0,6 GB NVIDIA GeForce RTX 4050, 2880 x 1800 ,Yes,14.5,Windows 11,1 Year Warranty
372,372,Asus,Asus Zenbook Pro 14 Duo OLED 2023 UX8402VU-MZ551WS Laptop ,199990,71.0,13th,12,16,16,LPDDR5,Intel Core i5 13500H,1024.0,6 GB NVIDIA GeForce RTX 4050, 2880 x 1800 ,Yes,14.5,Windows 11,1 Year Warranty
373,373,HP,HP ProBook 440 G9 6J8T1PA Laptop ,121130,75.0,12th,10,12,16,DDR4,Intel Core i7 1255U,512.0,Intel Iris Xe Graphics, 1920 x 1080 ,No,14,Windows 11,1 Year Warranty
374,374,HP,HP 15-fd0024TU Laptop ,91141,66.0,13th,12,16,16,DDR4,Intel Core i7 1360P,512.0,Intel Integrated Integrated, 1920 x 1080 ,No,15.6,Windows 11,1 Year Warranty
375,375,Asus,Asus TUF Gaming F17 FX706HF-HX018W Laptop ,64990,64.0,11th,6,12,8,DDR4,Intel Core i5 11400H,512.0,4 GB NVIDIA GeForce RTX 2050, 1920 x 1080 ,No,17.3,Windows 11,1 Year Warranty
376,376,Asus,Asus VivoBook 15 X515EA-EJ342WS Laptop ,38990,,11th,2,4,16,DDR4,intel Core i3 1115G4,512.0,Intel UHD Graphics, 1920 x 1080 ,No,15.6,Windows 11,1 Year Warranty
377,377,HP,HP 15s-fy5002TU Laptop ,56490,,12th,10,12,8,DDR4,Intel Core i5 1235U,512.0,Intel Integrated Integrated, 1920 x 1080 ,No,15.6,Windows 11,1 Year Warranty
