,index,brand_name,model_name,price,rating,generation,number_of_cores,number_of_threads,RAM (in GB),Data_rate,hardware_type,SSD (in GB),Graphic_cards,resolution (in Pixels),touch_screen,display (in inches),OS,warranty
53,53,Acer,Acer Aspire 3 A315-59 NX.K6TSI.00C Laptop ,39990,,12th,6,8,8,DDR4,Intel Core i3 1215U,512.0,Intel Iris Xe Graphics , 1920 x 1080 ,No,15.6,Windows 11,1 Year Warranty
54,54,HP,HP Victus 15-fa0555TX  Laptop ,76900,71.0,12th,8,12,16,DDR4,Intel Core i5 12450H,512.0,4 GB NVIDIA GeForce RTX RTX 3050, 1920 x 1080 ,No,15.6,Windows 11,1 Year Warranty
55,55,HP,HP Pavilion x360 14-ek1010TU Laptop ,79490,70.0,13th,10,12,16,DDR4,Intel Core i5 1335U,1024.0,Intel Integrated Iris Xe, 1920 x 1080 ,Yes,14,Windows 11,1 Year Warranty
56,56,MSI,MSI Titan GT77 HX 13VI-092IN Gaming Laptop ,599990,,13th,24,32,64,DDR5,Intel Core i9 13980HX,4096.0,16 GB NVIDIA GeForce RTX 4090, 3840 x 2160 ,No,17.3,Windows 11,2 Year Warranty
57,57,Lenovo,Lenovo IdeaPad  82K2022TIN Gaming Laptop ,53990,70.0,5th,6,12,8,DDR4,AMD Ryzen 5 5600H,512.0,4 GB NVIDIA GeForce GTX 1650, 1920 x 1080 ,No,15.6,Windows 11,1 Year Warranty
58,58,Asus,Asus Eeebook 15 E510MA-EJ021WS Laptop ,28990,,,2,2,8,DDR4,,512.0,Intel UHD Integrated, 1920 x 1080 ,No,15.6,Windows 11,1 Year Warranty
59,59,HP,HP 15s-fr4000TU Laptop ,52990,62.0,11th,4,8,8,DDR4,Intel Core i5 1155G7,512.0,Intel Integrated Iris Xe, 1920 x 1080 ,No,15.6,Windows 11,1 Year Warranty
60,60,Dell,Dell G15-5520 Gaming Laptop ,71490,74.0,12th,12,16,8,DDR5,Intel Core i5 12500H,512.0,4 GB NVIDIA GeForce RTX 3050, 1920 x 1080 ,No,15.6,Windows 11,1 Year Warranty
61,61,Lenovo,Lenovo IdeaPad Slim 3 82RJ0040IN Laptop ,41990,,12th,6,8,8,DDR4,Intel Core i3 1215U,512.0,‎Intel UHD Graphics, 1920 x 1080 ,No,14,Windows 11,1 Year Warranty
62,62,Infinix,Infinix INBook X2 Plus XL25 Laptop ,38990,,11th,4,8,8,LPDDR4X,Intel Core i5 1155G7,512.0,Intel Integrated Iris Xe, 1920 x 1080 ,No,15.6,Windows 11,1 Year Warranty
63,63,Asus,Asus TUF Gaming A15 FA506IHRZ-HN111W Laptop ,59990,67.0,4th,6,12,8,DDR4,AMD Ryzen 5 4600H,512.0,4 GB NVIDIA GeForce GTX 1650 , 1920 x 1080 ,No,15.6,Windows 11,1 Year Warranty
64,64,Acer,Acer Aspire 3 A315-59 Laptop ,37700,,12th,6,8,8,DDR4,Intel Core i3 1215U,512.0,Intel Iris Xe Graphics , 1920 x 1080 ,No,15.6,Windows 11,1 Year Warranty
65,65,HP,HP Victus 15-fb0040AX Gaming Laptop ,59490,67.0,5th,6,12,8,DDR4,AMD Ryzen 5  5600H,512.0,4 GB NVIDIA GeForce GTX 1650, 1920 x 1080 ,No,15.6,Windows 11,1 Year Warranty
66,66,Apple,Apple MacBook Pro 2022 Laptop ,134990,,,8,,8,,,512.0,10 Core GPU, 2560 x 1600 ,No,13.3,Mac,1 Year Warranty
67,67,HP,HP 14s-fq1092au Laptop ,44990,64.0,5th,6,12,8,DDR4,AMD Ryzen 5  5500U,512.0,AMD Radeon AMD, 1920 x 1080 ,No,14,Windows 11,1 Year Warranty
68,68,Realme,Realme Book Slim Laptop ,47999,60.0,11th,4,8,8,LPDDR4x,Intel Core i5 1135G7,512.0,Intel Iris Xe Graphics, 1440 x 2160 ,No,14,Windows 10,1 Year Warranty
69,69,Infinix,Infinix INBook X2 Slim Series Laptop ,31990,,11th,2,4,8,LPDDR4X,Intel Core i3  1115G4,512.0,Intel Integrated UHD Graphics, 1920 x 1080 ,No,14,Windows 11,1 Year Warranty
